Facility,Start Date,End Date,Region,State,Non-Add,Facility Type,Primary Facility,Center Area,Old Level,New Level,Class,Hours Of Ops,AT MIL,Oceanic,Arpt Ops,Instr Appr,Acft Handled,Instr Ops,Stage III/TCA,Seasonal,Classification
5V3:Thedford/Thomas County,199110,Present,3,NE,No,F,ZDV,ZDV,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
5W4:Raeford/P K Airpark,199510,Present,7,NC,Yes,F,FAY,ZDC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
5W5:Raleigh/Triple W,199908,Present,7,NC,Yes,F,RDU,ZDC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
5W8:Siler City Municipal,------,Present,7,NC,Yes,F,GSO,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
60G:Eaton Rapids/Skyway Estate,199510,Present,C,MI,Yes,F,LAN,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
60J:Ocean Isle Beach,------,Present,7,NC,Yes,F,MYR,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
60R:Navasota Municipal,------,Present,2,TX,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
60Y:Slayton Municipal,199912,Present,C,MN,No,F,ZMP,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
61C:Fort Atkinson Municipal,199610,Present,C,WI,Yes,F,MSN,ZAU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
61S:Cottage Grove,------,Present,S,OR,No,F,ZSE,ZSE,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
62D:Warren,------,Present,C,OH,Yes,F,YNG,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
62H:Giddings-Lee County,------,Present,2,TX,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
63C:Friendship/Adams Co Legion,199610,Present,C,WI,Yes,F,FWA,ZAU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
64J:Bennettsville,------,Present,7,SC,No,F,ZJX,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
64NR:Engelhard Medical Center,201106,Present,3,NC,Yes,F,M98,ZMP,0,0,,240,No,No,No,No,No,No,No,No,(12) Non-FAA Facility
64R:Pearland Heliport,------,Present,2,TX,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
66ID:Wind Ridge,201106,Present,3,ID,Yes,F,M98,ZMP,0,0,,240,No,No,No,No,No,No,No,No,(12) Non-FAA Facility
66Y:Bay St Louis/Diamondhead,199510,Present,7,MS,No,F,GPT,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
67L:Mesquite,199310,Present,4,NV,No,F,ZLA,ZLA,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
68J:Tallahassee Commercial,------,Present,7,FL,Yes,F,TLH,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
69R:Rocksprings,------,Present,2,TX,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
69V:Huntington Municipal,------,Present,S,UT,No,F,ZLC,ZLC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6A0:Cartersville,------,Present,7,GA,No,F,ZTL,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6A1:Butler Municipal,199704,Present,7,GA,Yes,F,M87,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6A2:Griffin-Spalding County,200104,Present,7,GA,Yes,F,A80,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6A3:Andrews-Murphy,------,Present,7,NC,No,F,ZTL,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6A8:Abingdon,------,Present,1,VA,Yes,F,TRI,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6B6:Stow/Minute Man Air Field,199610,Present,E,MA,Yes,F,A90,ZBW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6B8:Lyndonville/Caledonia Cnty,199610,Present,E,VT,No,F,ZBW,ZBW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6B9:Skaneateles Aero Drome,199610,Present,1,NY,Yes,F,SYR,ZBW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6CN5:Los Altos,201106,Present,3,CA,Yes,F,M98,ZMP,0,0,,240,No,No,No,No,No,No,No,No,(12) Non-FAA Facility
6D6:Greenville Municipal,------,Present,C,MI,Yes,F,GRR,ZAU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6D8:Valley City/Barnes Cty Mu,------,Present,C,ND,No,F,ZMP,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6D9:East Tawas,------,Present,C,MI,No,F,ZMP,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6F6:Guthrie/6666 Ranch,------,Present,2,TX,No,F,ZFW,ZFW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6G0:Davison/Williams Memorial,199610,Present,C,MI,Yes,F,FNT,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6G1:Titusville,------,Present,1,PA,Yes,F,YNG,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6G3:Palmyra Airpark,------,Present,1,NY,Yes,F,ROC,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6G5:Barnesville,------,Present,C,OH,No,F,ZOB,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6G7:St Clairsville,------,Present,C,OH,No,F,ZOB,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6I2:Lebanon-Springfield,------,Present,7,KS,No,F,ZID,ZID,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6I4:Lebanon/Boone County,------,Present,C,IN,Yes,F,IND,ZID,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6J0:Pelion/Corporate,199210,Present,7,SC,Yes,F,CAE,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6J2:St George,199510,Present,7,SC,Yes,F,CHS,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6K4:Fairview,198910,Present,2,OK,No,F,ZKC,ZKC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6M5:Hawesville/Hancock Airfld,199610,Present,7,KY,Yes,F,EVV,ZID,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6M6:Monticello/Lewis Cnty Rgnl,199610,Present,3,MO,No,F,ZKC,ZKC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6NY0:Orange Rgnl Medical Center,201106,Present,3,NY,Yes,F,M98,ZMP,0,0,,240,No,No,No,No,No,No,No,No,(12) Non-FAA Facility
6R1:Welsh,------,Present,2,LA,Yes,F,LCH,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6R3:Cleveland Municipal,199101,Present,2,TX,Yes,F,I90,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6R4:Bird's Nest,------,Present,2,TX,Yes,F,AUS,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6R7:Columbus,------,Present,2,TX,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6R9:Llano,------,Present,2,TX,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6S8:Laurel Municipal,------,Present,S,MT,No,F,ZLC,ZLC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
6W6:Hanover,199604,Present,1,PA,Yes,F,BWI,ZDC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
70J:Cairo/Grady County,------,Present,7,GA,Yes,F,TLH,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
70T:Chaparrosa Ranch,------,Present,2,TX,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
71J:Ozark/Blackwell Field,------,Present,7,AL,Yes,F,OZR,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
71K:Wichita/Westport,------,Present,3,KS,Yes,F,ICT,ZKC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
72J:Brunswick Municipal,------,Present,7,GA,Yes,F,NEA,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
73J:Beaufort,------,Present,7,SC,Yes,F,NBC,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
73K:Bill Martin Memorial,------,Present,3,MO,No,F,ZKC,ZKC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
74V:Roosevelt Municipal,------,Present,S,UT,No,F,ZLC,ZLC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
75S:Burlington/Mt Vernon,------,Present,S,WA,No,F,ZSE,ZSE,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
76D:Bad Axe,------,Present,C,MI,No,F,ZOB,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
76J:Camilla,------,Present,7,GA,Yes,F,NAB,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
76S:Oak Harbor,------,Present,S,WA,No,F,ZSE,ZSE,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
77F:Winters Municipal,------,Present,2,TX,No,F,ZFW,ZFW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
77G:Marlette,------,Present,C,MI,No,F,ZOB,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
77T:Leander/Kittie Hill,------,Present,2,TX,Yes,F,AUS,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
78D:Caro Municipal,------,Present,C,MI,Yes,F,MBS,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
78N:Reidsville/Rockingham Cnty,199909,Present,7,NC,Yes,F,GSO,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
79PN:Danville/Geisinger Heliprt,199610,Present,1,PA,Yes,F,AVP,ZNY,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
79R:Arrowhead,------,Present,2,TX,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7A2:Demopolis Municipal,202002,Present,7,AL,No,F,ZME,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7A3:Lanett/Chambers Municipal,199510,Present,7,AL,Yes,F,CSG,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7A4:Richlands Municipal,------,Present,1,VA,No,F,ZTL,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7A9:Plains/Peterson Field,199510,Present,7,GA,Yes,F,CSG,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7B2:Northampton,199610,Present,E,MA,Yes,F,Y90,ZBW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7B3:Hampton,------,Present,E,NH,No,F,ZBW,ZBW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7D2:Oakland/Troy,199710,Present,C,MI,Yes,F,D21,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7D3:Baldwin Municipal,------,Present,C,MI,No,F,ZMP,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7F3:Caddo Mills Municipal,------,Present,2,TX,No,F,ZFW,ZFW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7F9:Comanche County-City,------,Present,2,TX,No,F,ZFW,ZFW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7FL6:Daytona Beach/Spruce Creek,199810,Present,7,FL,Yes,F,DAB,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7G0:Brockport/Ledgedale Arprk,199610,Present,1,NY,Yes,F,ROC,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7G8:Middlefield/Geauga County,199610,Present,C,OH,Yes,F,CLE,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7G9:Celina Lakefield,------,Present,C,OH,No,F,ZID,ZID,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7I7:Bellefontaine Municipal,199210,Present,C,OH,Yes,F,DAY,ZID,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7K1:Herington,198910,Present,3,KS,No,F,ZKC,ZKC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7K4:Ohio County Arpt,200111,Present,C,KY,Yes,F,EVV,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7K7:N. Sioux City/Graham Field,199610,Present,C,SD,Yes,F,SUX,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7LA1:Port Sulphur/Birdwin,------,Present,2,LA,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7M1:Mcgeehee,202002,Present,2,AR,No,F,ZME,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7M2:Mtn View/H E Wilcox Mem,202002,Present,2,AR,No,F,ZME,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7M4:Osceola Municipal,202002,Present,2,AR,No,F,MEM,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7M5:Ozark-Franklin County,202002,Present,2,AR,Yes,F,FSM,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7MS9:Dream Fields,201106,Present,3,MS,Yes,F,M98,ZMP,0,0,,240,No,No,No,No,No,No,No,No,(12) Non-FAA Facility
7R3:Amelia/Lake Palourde Heli,------,Present,2,LA,Yes,F,MSY,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7R4:Intracoastal City Hlport,------,Present,2,LA,Yes,F,LFT,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7R5:Cameron/Ptrlm Helicopters,199110,Present,2,LA,Yes,F,LCH,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7R9:Bailes/Angleton,------,Present,2,TX,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7SP:Seven Springs Borough,------,Present,1,PA,No,F,ZOB,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7TX5:Midland/Mabee Ranch,199510,Present,2,TX,Yes,F,MAF,ZFW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7TX7:Midland/Ryan Aerodrome,------,Present,2,TX,Yes,F,MAF,ZFW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
7W5:Napoleon/Henry County,199908,Present,C,OH,Yes,F,TOL,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
80F:Antlers Municipal,------,Present,2,OK,No,F,ZFW,ZFW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
84D:Cheyenne Eagle Butte Arpt,200112,Present,C,SD,Yes,F,ZMP,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
84K:Clinton Memorial,------,Present,3,MO,No,F,ZKC,ZKC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
84R:Smithville Municipal,------,Present,2,TX,Yes,F,AUS,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
85TX:Buda/Rutherford Ranch,------,Present,2,TX,Yes,F,AUS,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
86G:Petersburg/Lada,------,Present,C,MI,Yes,F,D21,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
86HI:Kaena Point Satellite Tracking Station,201106,Present,3,HI,Yes,F,M98,HCF,0,0,,240,No,No,No,No,No,No,No,No,(12) Non-FAA Facility
86MT:Moose City,201106,Present,3,MT,Yes,F,M98,ZMP,0,0,,240,No,No,No,No,No,No,No,No,(12) Non-FAA Facility
87D:Dodge Center,200112,Present,C,MN,Yes,F,RST,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
87I:Yazoo City/Yazoo County,202002,Present,7,MS,No,F,ZME,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
87Y:Madison/Blackhawk Airfield,199510,Present,C,WI,Yes,F,MSN,ZAU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
88J:Allendale County,------,Present,7,SC,No,F,ZJX,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
88R:Spicewood/Windermere,------,Present,2,TX,Yes,F,AUS,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8A0:Albertville Municipal,------,Present,7,AL,Yes,F,BHM,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8A1:Guntersville Municipal,202002,Present,7,AL,Yes,F,HSV,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8A3:Livingston Municipal,199210,Present,7,TN,No,F,ZID,ZID,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8A7:Mocksville/Twin Lakes,199510,Present,7,NC,Yes,F,GSO,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8AL3:Fricks field,201106,Present,3,AL,Yes,F,M98,ZMP,0,0,,240,No,No,No,No,No,No,No,No,(12) Non-FAA Facility
8B0:Rangeley Municipal,------,Present,E,ME,No,F,ZBW,ZBW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8B1:Hawthorne-Feather Airpark,------,Present,E,NH,No,F,ZBW,ZBW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8C4:Tipton/Mathews Memorial,199510,Present,3,IA,Yes,F,CID,ZAU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8CA8:Lodi/Wallom Field,200303,Present,4,CA,Yes,F,SCT,ZOA,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8D1:New Holstein Municipal,------,Present,C,WI,No,F,ZAU,ZAU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8D4:Sparta,------,Present,C,MI,Yes,F,GRR,ZAU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8F3:Crosbyton Municipal,------,Present,2,TX,No,F,ZFW,ZFW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8F7:Decatur Municipal,------,Present,2,TX,No,F,ZFW,ZFW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8G1:Willard,------,Present,C,OH,Yes,F,MFD,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8G2:Corry-Lawrence,199610,Present,1,PA,Yes,F,ERI,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8G5:St Marys Municipal,199310,Present,1,PA,No,F,ZOB,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8G6:Harrison County,------,Present,C,OH,No,F,ZOB,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8K2:Harper Municipal,------,Present,3,KS,No,F,ZKC,ZKC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8K4:Meade,------,Present,3,KS,No,F,ZKC,ZKC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8KY2:LRFO,201106,Present,3,KY,Yes,F,M98,ZMP,0,0,,240,No,No,No,No,No,No,No,No,(12) Non-FAA Facility
8M1:Booneville/Baldwin,202002,Present,7,MS,No,F,ZME,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8S5:Mt Pleasant/East Cooper,199210,Present,7,SC,Yes,F,CHS,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8V2:Stuart-Atkinson Municipal,199906,Present,C,NE,No,F,ZMP,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8V7:Springfield Municipal,202002,Present,S,CO,No,F,ZAB,ZAB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8W2:New Market Arpt,200112,Present,1,VA,Yes,F,ZDC,ZDC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8W5:Hatteras/Billy Mitchell,------,Present,7,NC,No,F,ZDC,ZDC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
8Y2:Buffalo Municipal,199010,Present,C,MN,Yes,F,M98,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
90MS:Steele Farm,201106,Present,3,MS,Yes,F,M98,ZMP,0,0,,240,No,No,No,No,No,No,No,No,(12) Non-FAA Facility
91C:Prairie Du Sac,199710,Present,C,WI,Yes,F,MSN,ZAU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
91MI:Mchelipad,201106,Present,3,MI,Yes,F,M98,ZMP,0,0,,240,No,No,No,No,No,No,No,No,(12) Non-FAA Facility
92C:Pulaski/Carter,199210,Present,C,WI,Yes,F,GRB,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
93C:Richland,------,Present,C,WI,No,F,ZAU,ZAU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
94K:Cassville Municipal,199310,Present,3,MO,Yes,F,SGF,ZKC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
99MN:Rochester/St Mary's Hsptl,199610,Present,C,MN,Yes,F,RST,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
9A0:Dahlonega/Lumpkin County,------,Present,7,GA,No,F,ZTL,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
9A1:Covington Municipal,200104,Present,7,GA,Yes,F,A80,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
9A3:Charlotte/Brockenbrough,------,Present,7,NC,No,F,ZTL,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
9A4:Courtland/Industrial Arprk,202002,Present,7,AL,Yes,F,HSV,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
9A6:Chester Municipal,------,Present,7,SC,Yes,F,CLT,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
9B1:Marlboro,199710,Present,E,VT,No,F,ZBW,ZBW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
9D4:Myerstown/Decks,199210,Present,1,PA,Yes,F,MDT,ZNY,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
9D9:Hastings,------,Present,C,MI,Yes,F,GRR,ZAU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
9FA2:Lakeside Medical Center,201106,Present,3,AR,Yes,F,M98,ZMP,0,0,,240,No,No,No,No,No,No,No,No,(12) Non-FAA Facility
9G0:Buffalo Airfield,199610,Present,1,NY,Yes,F,BUF,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
9G2:Linden/Prices,------,Present,C,MI,Yes,F,FNT,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
9G3:Akron,------,Present,1,NY,Yes,F,BUF,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
9G6:Albion/Pine Hill,199210,Present,1,NY,Yes,F,BUF,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
9G8:Endensburg,------,Present,1,PA,No,F,ZOB,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
9I0:Havana Regional,------,Present,C,IL,Yes,F,SPI,ZKC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
9K4:Warrensburg/Skyhaven,199501,Present,3,MO,No,F,ZKC,ZKC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
9K8:Kingman Municipal,199210,Present,3,KS,Yes,F,ICT,ZKC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
9LA6:Pineville Municipal,199010,Present,2,LA,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
9N3:Factoryville/Seamans Fld,------,Present,1,PA,Yes,F,AVP,ZNY,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
9V7:Eads Municipal,------,Present,S,CO,No,F,ZDV,ZDV,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
9V9:Chamberlain Muni Arpt,200112,Present,C,SD,Yes,F,ZMP,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
9W7:Currituck County,199906,Present,7,NC,Yes,F,ORF,ZDC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
A06:Monroe/Walton County,200104,Present,7,GA,Yes,F,A80,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
A11:Anchorage TRACON,201402,Present,5,AK,No,A,A11,ZAN,4,8,C,240,No,No,No,Yes,No,Yes,Yes,No,"(2) TRACON, RAPCON, or CERAP"
A80:Atlanta TRACON,200906,Present,7,GA,No,A,A80,ZTL,5,12,B,240,No,No,No,Yes,No,Yes,Yes,No,"(2) TRACON, RAPCON, or CERAP"
A90:Boston TRACON,200411,Present,E,NH,No,A,A90,ZBW,5,11,B,240,No,No,No,Yes,No,Yes,Yes,No,"(2) TRACON, RAPCON, or CERAP"
AAF:Apalachicola Municipal,199710,Present,7,FL,Yes,F,PAM,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
AAO:Wichita/Col. J. Jabara,199807,Present,3,KS,Yes,F,ICT,ZKC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
AAP:Andrau Air Park,199101,Present,2,TX,Yes,F,I90,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
AAS:Campbellsville/Taylor Cty,------,Present,7,KY,No,F,ZID,ZID,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
ABE:Allentown/Lehigh Valley,201301,Present,1,PA,No,B,ABE,ZNY,3,7,C,240,No,No,Yes,Yes,No,Yes,Yes,No,(3) Combined TRACON & Tower with Radar
ABI:Abilene Tower,201312,Present,2,TX,No,B,ABI,ZFW,3,6,C,240,No,No,Yes,Yes,No,Yes,Yes,No,(3) Combined TRACON & Tower with Radar
ABQ:Albuquerque International,202002,Present,2,NM,No,B,ABQ,ZAB,4,9,C,240,No,No,Yes,Yes,No,Yes,Yes,No,(3) Combined TRACON & Tower with Radar
